StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1001,17,1,0,2,19.83372280785472,7,1,2,0,0,1,0,2.929195591667681,2.0
1002,18,0,0,1,15.40875605584674,0,0,1,0,0,0,0,3.042914833436377,1.0
1003,15,0,2,3,4.21056976881226,26,0,2,0,0,0,0,0.1126022544661815,4.0
1004,17,1,0,3,10.028829473958217,14,0,3,1,0,0,0,2.0542181397029484,3.0
1005,17,1,0,2,4.6724952729713305,17,1,3,0,0,0,0,1.2880611817953875,4.0
1006,18,0,0,1,8.191218545250186,0,0,1,1,0,0,0,3.0841836144863937,1.0
1007,15,0,1,1,15.601680474699297,10,0,3,0,1,0,0,2.748237414891583,2.0
1008,15,1,1,4,15.424496305808074,22,1,1,1,0,0,0,1.360142712316461,4.0
1009,17,0,0,0,4.562007558047703,1,0,2,0,1,0,1,2.896819189513569,2.0
1010,16,1,0,1,18.4444663630972,0,0,3,1,0,0,0,3.5734742103297656,0.0
1011,17,0,0,1,11.851363655296536,11,0,1,0,0,0,0,2.1471716250185144,3.0
1012,17,0,0,1,7.59848581924029,15,0,2,0,0,0,1,1.5595945190402771,4.0
1013,17,0,1,1,10.038711615617212,21,0,3,1,0,0,0,1.520077814874808,4.0
1014,17,0,1,2,12.101425068754876,21,0,4,0,1,0,0,1.7515809583340785,4.0
1015,18,1,0,1,11.197810636915708,9,1,2,0,0,0,0,2.396788117124796,3.0
1016,15,0,0,2,9.728100710723565,17,1,0,0,1,0,0,1.3415207165346672,4.0
1017,18,0,3,1,10.098656081788002,14,0,2,1,1,0,0,2.232175277715976,3.0
1018,18,1,0,0,3.5282382085577235,16,1,2,0,0,0,0,1.3844041756940335,4.0
1019,18,0,1,3,16.25465808609359,29,0,2,1,0,0,1,0.4695533233798704,4.0
1020,17,0,0,1,10.835206398820308,9,0,2,0,0,1,0,2.3957840945307,3.0
1021,16,1,0,3,2.621597234094062,2,0,3,0,0,0,1,2.778411299920653,2.0
1022,15,0,0,2,15.32314203165556,25,0,1,1,0,0,0,0.3468940367050148,4.0
1023,16,1,1,0,18.648879567547016,29,1,1,0,0,0,0,0.3125462305253549,4.0
